Company_name,Industry,Sector,Country,Type_of_Document,Publication_Year,url
Lazard Ltd,Investment Banking & Brokerage,Financials,United States,Corporate Responsibility Reports,2020,https://www.lazard.com/media/451285/lazard-csr-2019_fin.pdf
Lennox International Inc.,Electrical & Electronic Equipment,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://www.lennoxinternational.com/home/Home/sustainability/ESG%20Report%20-%202019.pdf?download=true
LG Electronics Inc,Hardware,Technology & Communications,South Korea,Corporate Responsibility Reports,2020,https://www.lg.com/global/pdf/Sustainability-Report/2019-2020%20Sustainability%20Report.pdf
Linx SA,Software & IT Services,Technology & Communications,Brazil,Annual Reports,2020,https://api.mziq.com/mzfilemanager/v2/d/0f096bac-7f76-4ace-96d0-af7eab4e55a5/e6b714d6-7d09-34b1-fc9c-20ae5c6f67d6?origin=2&token=eyJjb21wYW55X2lkIjoiMGYwOTZiYWMtN2Y3Ni00YWNlLTk2ZDAtYWY3ZWFiNGU1NWE1IiwiZG93bmxvYWRfaWQiOiJlNmI3MTRkNi03ZDA5LTM0YjEtZmM5Yy0yMG
Loblaw Cos Ltd,Food Retailers & Distributors,Food & Beverage,Canada,Corporate Responsibility Reports,2020,https://s1.q4cdn.com/326961052/files/doc_financials/2020/ar/SASB-Final.pdf
Lyft Inc,Internet Media & Services,Technology & Communications,United States,Corporate Responsibility Reports,2020,https://investor.lyft.com/static-files/3dd29ca2-6c60-451b-b69a-021bfb3551f0
LyondellBasell Industries NV,Chemicals,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://www.lyondellbasell.com/globalassets/sustainability/2019_sustainability_report.pdf
Macerich Co/The,Real Estate,Infrastructure,United States,Corporate Responsibility Reports,2020,https://assets.macerichepicenter.com/FileManager/Corporate/PageContent/Sustainability/MAC%20ESG%20Report%202020.pdf
Macquarie Mexico Real Estate Management SA de CV,Real Estate,Infrastructure,Mexico,Corporate Responsibility Reports,2020,https://www.fibramacquarie.com/assets/fibra/docs/events-and-presentations/2019/fibra-macquarie-2019-sustainability-report.pdf
Magna International Inc,Auto Parts,Transportation,Canada,Corporate Responsibility Reports,2020,https://www.magna.com/docs/default-source/sustainability-policy/magna-intl-annual-information-form---sustainability-report-(online-version)---clean-pdf.pdf?sfvrsn=c57a97d6_0
Manulife Financial Corp,Insurance,Financials,Canada,Corporate Responsibility Reports,2020,https://www.manulife.com/content/dam/corporate/global/en/documents/pas/MFC_SR_PAS_2019.pdf
Marathon Oil Corp,Oil & Gas â€“ Exploration & Production,Extractives & Minerals Processing,United States,Corporate Responsibility Reports,2020,https://cdn.sanity.io/files/ghcnw9z2/website/9eb613dd207ddc238c9a27510cfa145ad5fc0f35.pdf?dl
Matba Rofex SA,Investment Banking & Brokerage,Financials,Argentina,Corporate Responsibility Reports,2020,https://www.matbarofex.com.ar/documentos/prensa/reporte-de-sustentabilidad-2019
McDonald's Corporation,Restaurants,Food & Beverage,United States,Corporate Responsibility Reports,2020,https://corporate.mcdonalds.com/content/dam/gwscorp/assets/reports/55854%20McDonalds_SASB_AW3_v8.pdf
MetLife Inc,Insurance,Financials,United States,Corporate Responsibility Reports,2020,https://www.metlife.com/content/dam/metlifecom/us/sustainability/pdf/report/2019/2019-sustainability-report.pdf
Micron Technology Inc,Semiconductors,Technology & Communications,United States,Corporate Responsibility Reports,2020,https://media-www.micron.com/-/media/client/global/documents/general/about/sustainability_report_2020.pdf?la=en&rev=3b0705b8fa664f359abb9ce87f431bd4
MOL Hungarian Oil & Gas PLC,Oil & Gas â€“ Exploration & Production,Extractives & Minerals Processing,Hungary,Annual Reports,2020,https://molgroup.info/storage/documents/annual_general_meeting_documents/mol_group_integrated_annual_report_2019_eng.pdf
Molson Coors Beverage Co,Alcoholic Beverages,Food & Beverage,United States,null,2020,https://www.molsoncoors.com/sites/molsonco/files/ESG-Report_2020_EN.pdf
Mondelez International Inc,Processed Foods,Food & Beverage,United States,Corporate Responsibility Reports,2020,https://www.mondelezinternational.com/-/media/Mondelez/Snacking-Made-Right/SMR-Report/2019_MDLZ_SASB_TCFD_ESG-Datasheet.pdf
Moody's Corp,Professional & Commercial Services,Services,United States,Corporate Responsibility Reports,2020,https://assets.website-files.com/5a54fd01e519160001e4bbb9/5ea6f7c132df3e302da58875_Moodys_2019_CSR_Report.pdf
Morgan Stanley,Investment Banking & Brokerage,Financials,United States,Corporate Responsibility Reports,2020,https://www.morganstanley.com/pub/content/dam/msdotcom/sustainability/Morgan-Stanley_2019-Sustainability-Report_Final.pdf
Mosaic Co/The,Chemicals,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://mosaicco.com/fileLibrary/publicFiles/0-2019_Sustainability_Disclosure_and_GRI.pdf
Motorola Solutions Inc,Hardware,Technology & Communications,United States,Corporate Responsibility Reports,2020,https://www.motorolasolutions.com/content/dam/msi/docs/about-us/cr/motorola_solutions_2019_corporate_responsibility_report.pdf
National Bank of Canada,Commercial Banks,Financials,Canada,Corporate Responsibility Reports,2020,https://www.nbc.ca/content/dam/bnc/a-propos-de-nous/responsabilite-sociale/pdf/report-environmental-social-governance-advances-2019.pdf
National Fuel Gas Company,Gas Utilities & Distributors,Infrastructure,United States,Corporate Responsibility Reports,2020,https://brandcast-cdn.global.ssl.fastly.net/d8824b65-42d7-4e51-9cda-37b31642c352/b907ce4f-ee49-44f3-8361-25806afadf1a/3c94e32a15e6654c20e1803f5ba1f8df/NFG-2019-CR-Report-final-090720-Rev3.pdf
Neenah Inc,Pulp & Paper Products,Renewable Resources & Alternative Energy,United States,Corporate Responsibility Reports,2020,https://www.neenah.com/sustainability/2020-Corporate-Sustainability-Report.pdf
Newmont Corporation,Metals & Mining,Extractives & Minerals Processing,United States,Corporate Responsibility Reports,2020,https://s24.q4cdn.com/382246808/files/doc_downloads/2019/sustainability/Newmont-2019-sustainability-report.pdf
Northrop Grumman Corp,Aerospace & Defense,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://www.northropgrumman.com/wp-content/uploads/Northrop-Grumman-2019-Sustainability-Report.pdf
Northwest Natural Holding Co,Gas Utilities & Distributors,Infrastructure,United States,Corporate Responsibility Reports,2020,https://www.nwnatural.com/-/media/nwnatural/pdfs/2019esg-reportfinalnewwebsite.pdf?la=en&hash=6241B2BD03DDE9DC1B5D0F3767374682
NortonLifeLock Inc,Software & IT Services,Technology & Communications,United States,Corporate Responsibility Reports,2020,https://www.nortonlifelock.com/content/dam/nortonlifelock/pdfs/corporate-responsibility/2020-corporate-responsibility-report-en.pdf
NOW Inc,Oil & Gas â€“ Services,Extractives & Minerals Processing,United States,Corporate Responsibility Reports,2020,https://www.dnow.com/hubfs/WC/PDF/Company/Statement/DNOW-2019-ESG-Report-Unlocking-Sustainable-Value.pdf
NRG Energy Inc,Electric Utilities & Power Generators,Infrastructure,United States,Corporate Responsibility Reports,2020,http://www.nrg.com/assets/documents/sustainability/2019-nrg-sustainability-report.pdf?sid=G3P-2020May-SRPRC
Nuance Communications Inc,Software & IT Services,Technology & Communications,United States,Corporate Responsibility Reports,2020,https://www.nuance.com/content/dam/nuance/en_us/collateral/corporate/reports/rpt-nuance-ESG-report-2020-en-us.pdf
Nucor Corp,Iron & Steel Producers,Extractives & Minerals Processing,United States,Corporate Responsibility Reports,2020,https://images.ctfassets.net/aax1cfbwhqog/smFN7wGt3cp8vjlrqsDRP/649d492fe39fabe2316497d63c9e8d9e/Nucor_SASB_Disclosure_-_Steel_Mills_Only_11.3.20.pdf
NVIDIA Corp,Semiconductors,Technology & Communications,United States,Corporate Responsibility Reports,2020,https://www.nvidia.com/content/dam/en-zz/Solutions/documents/FY2020-NVIDIA-CSR-Social-Responsibility.pdf
Odfjell SE,Marine Transportation,Transportation,Norway,Annual Reports,2020,https://d3grzk40ejrt1i.cloudfront.net/1585054213/annual-report-2019-odfjell-se.pdf
Orbia Advance Corp SAB de CV,Chemicals,Resource Transformation,Mexico,Corporate Responsibility Reports,2020,https://www.orbia.com/499439/siteassets/6.-sustainability/sustainability-reports/2019/orbia-2019-sustainability-report2.pdf
OTP Bank Nyrt,Commercial Banks,Financials,Hungary,Corporate Responsibility Reports,2020,https://www.otpbank.hu/static/portal/sw/file/OTP_Group_Sustainability_Report_2019_e.pdf
Paramount Group Inc,Real Estate,Infrastructure,United States,Corporate Responsibility Reports,2020,https://www.paramount-group.com/wp-content/uploads/2020/07/Paramount-2019SR.pdf
Parkland Corp/Canada,Oil & Gas â€“ Refining & Marketing,Extractives & Minerals Processing,Canada,Corporate Responsibility Reports,2020,https://www.parkland.ca/application/files/4816/0149/4254/Parkland-Inaugural-Sustainability-Report-EN.pdf
PayPal Holdings Inc,Consumer Finance,Financials,United States,Corporate Responsibility Reports,2020,https://www.paypalobjects.com/marketing/web/us/globalimpact/PayPal_2019_Global_ImpactReport.pdf
Pembina Pipeline Corp,Oil & Gas â€“ Midstream,Extractives & Minerals Processing,Canada,Corporate Responsibility Reports,2020,"https://www.pembina.com/getmedia/3835c2ac-77e0-4084-a253-cfa656b38770/Pembina-2020-SustainabilityReport-Dec-3,-2020.pdf"
Peugeot SA,Automobiles,Transportation,France,Annual Reports,2020,https://www.cotecorp.com/Groupe_PSA_2019_CSR_Report.pdf
Philip Morris International Inc,Tobacco,Food & Beverage,United States,Annual Reports,2020,https://www.pmi.com/resources/docs/default-source/pmi-sustainability/pmi-sasb-content-index-2019.pdf
Pioneer Natural Resources Co,Oil & Gas â€“ Exploration & Production,Extractives & Minerals Processing,United States,Corporate Responsibility Reports,2020,https://www.pxd.com/sites/default/files/files/2020-Sustainability-Report.pdf
Polymetal International PLC,Metals & Mining,Extractives & Minerals Processing,Cyprus,Corporate Responsibility Reports,2020,https://www.polymetalinternational.com/upload/iblock/051/Polymetal_Sustainability_report_2019_web.pdf
Portland General Electric Co,Electric Utilities & Power Generators,Infrastructure,United States,Corporate Responsibility Reports,2020,https://investors.portlandgeneral.com/static-files/8f4bbf85-22e2-42ea-8fdf-0a105e9dffc6
POSCO International Corp.,Iron & Steel Producers,Extractives & Minerals Processing,South Korea,Corporate Responsibility Reports,2020,https://www.poscointl.com/inc/download2.jsp?destFileName=2019_POSCO_INTERNATIONAL_Sustainability_Report_Eng_1.pdf&filepath=/downFiles/sustain/
CommScope Holding Co Inc,Hardware,Technology & Communications,United States,Corporate Responsibility Reports,2020,https://www.commscope.com/globalassets/digizuite/500667-2019-sustainability-report.pdf
ConAgra Foods Inc,Processed Foods,Food & Beverage,United States,Corporate Responsibility Reports,2020,https://www.conagrabrands.com/files/conagra-brands-fiscal-year-2020-sasb-disclosure
Covivio,Real Estate,Infrastructure,France,Annual Reports,2020,https://www.covivio.eu/app/uploads/2020/05/2019-universal-registration-document.pdf
Crescent Point Energy Corp,Oil & Gas â€“ Exploration & Production,Extractives & Minerals Processing,Canada,Corporate Responsibility Reports,2020,https://www.crescentpointenergy.com/sites/default/files/docs/responsible/2020_sustainability_and_tcfd-_final_-_07.23_compressed.pdf
Crown Castle International Corp,Real Estate,Infrastructure,United States,Corporate Responsibility Reports,2020,https://www.crowncastle.com/investors/2019-corporate-sustainability-report.pdf
CSX Corp,Rail Transportation,Transportation,United States,Corporate Responsibility Reports,2020,https://www.csx.com/share/wwwcsx15/assets/File/Responsibility/CSX_ESG_Report_Final_7_30.pdf
Cummins Inc.,Industrial Machinery & Goods,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://www.cummins.com/sites/default/files/2019%20Cummins%20SASB%20report%20862020.pdf
Daiwa Securities Group Inc,Investment Banking & Brokerage,Financials,Japan,Corporate Responsibility Reports,2020,https://www.daiwa-grp.jp/english/sdgs/data/pdf/daiwa_sdgs_data_2020.pdf
Deckers Outdoor Corp (Deckers Brands),"Apparel, Accessories & Footwear",Consumer Goods,United States,Corporate Responsibility Reports,2020,http://www.deckers.com/sites/default/files/images/responsibility/Deckers%202020%20Corporate%20Responsibility%20Report.pdf
Delphi Automotive PLC,Auto Parts,Transportation,Ireland,Corporate Responsibility Reports,2020,https://aptivdotcom.blob.core.windows.net/libraries/docs/default-source/aptiv-storage/2020_aptiv_sustainability_report_f.pdf
Denbury Inc,Oil & Gas â€“ Exploration & Production,Extractives & Minerals Processing,United States,Corporate Responsibility Reports,2020,http://csr.denbury.com/files/doc_downloads/denbury_crr_layout_2019_v05_04.pdf
DS Smith PLC,Containers & Packaging,Resource Transformation,Britain,Corporate Responsibility Reports,2020,https://www.dssmith.com/globalassets/corporate/sustainbility-2020-reports-and-docs/ds-smith-2020-sustainability-report-double-page.pdf
Eagle Bulk Shipping Inc,Marine Transportation,Transportation,United States,Corporate Responsibility Reports,2020,https://www.eagleships.com/wp-content/uploads/2020/05/Eagle-2019-ESG-Sustainability-Report.pdf
Eastman Chemical Co,Chemicals,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://www.eastman.com/Company/Sustainability/Documents/Eastman-Sustainability-Report-2020.pdf
eBay Inc,E-commerce,Consumer Goods,United States,Corporate Responsibility Reports,2020,https://static.ebayinc.com/assets/Uploads/Documents/eBay-Impact-2019-Report.pdf
Ecolab Inc,Chemicals,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://en-mx.ecolab.com/-/media/Widen/Sustainability/Corporate-Sustainability-Report/2019/Ecolab-2019-Corporate-Responsibility-GRI-Report_pdf.pdf
Edison International,Electric Utilities & Power Generators,Infrastructure,United States,Corporate Responsibility Reports,2020,https://www.edison.com/content/dam/eix/documents/sustainability/eix-2019-sustainability-report-sasb-index.pdf
Edwards Lifesciences Corp,Medical Equipment & Supplies,Health Care,United States,Corporate Responsibility Reports,2020,https://edwardsweb.blob.core.windows.net/sustainability2019/Edwards-2019-Sustainability-Report.pdf
EI du Pont de Nemours and Co,Chemicals,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://www.dupont.com/content/dam/dupont/amer/us/en/corporate/about-us/Sustainability/Dupont%202020%20GRI%20Index_FinalF.pdf
Eldorado Gold Corp,Metals & Mining,Extractives & Minerals Processing,Canada,Corporate Responsibility Reports,2020,https://s2.q4cdn.com/536453762/files/doc_downloads/sustainability_report/0335_EldG_Sust-2020_v24_linked.pdf
Electricity Generating PCL,Electric Utilities & Power Generators,Infrastructure,Thailand,Corporate Responsibility Reports,2020,https://investor.egco.com/misc/sd/20200312-egco-sd2019-en-01.pdf
"Enable Midstream Partners, LP",Oil & Gas â€“ Midstream,Extractives & Minerals Processing,United States,Corporate Responsibility Reports,2020,https://www.enablemidstream.com/wp-content/uploads/2020/11/Enable_Sustainability_Report.pdf
Enbridge Inc,Oil & Gas â€“ Midstream,Extractives & Minerals Processing,Canada,Corporate Responsibility Reports,2020,https://www.enbridge.com/~/media/Enb/Documents/Reports/CSR_2019_FULL-1009.pdf
Endo International PLC,Biotechnology & Pharmaceuticals,Health Care,Ireland,Corporate Responsibility Reports,2020,https://endo.cloud.stage.iapps.com/file%20library/our%20responsibility/endo_corpresp_report_final.pdf
Energean Oil & Gas PLC,Oil & Gas â€“ Exploration & Production,Extractives & Minerals Processing,Britain,Corporate Responsibility Reports,2020,https://www.energean.com/media/3824/energean-sr_2019-final_web_6.pdf
Energy Recovery,Industrial Machinery & Goods,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://ir.energyrecovery.com/energyrecover/pdf/esg-report.pdf
EnLink Midstream LLC,Oil & Gas â€“ Midstream,Extractives & Minerals Processing,United States,Corporate Responsibility Reports,2020,https://www.enlink.com/documents/54/2019_EnLink_Sustainability_Report_-_Issued_May_7_2020.pdf
Enviva Inc,Biofuels,Renewable Resources & Alternative Energy,United States,Corporate Responsibility Reports,2020,https://www.envivabiomass.com/wp-content/uploads/Enviva_Sustainability_Report_2020.pdf
EQT Corp,Oil & Gas â€“ Exploration & Production,Extractives & Minerals Processing,United States,Corporate Responsibility Reports,2020,https://esg.eqt.com/content/EQT_ESG_Report_Calendar_Year_2019.pdf
Etsy Inc,E-commerce,Consumer Goods,United States,Regulatory Filings,2020,http://d18rn0p25nwr6d.cloudfront.net/CIK-0001370637/d63aa848-ac0c-474c-9350-5b18888e84bf.pdf
Etsy Inc,E-commerce,Consumer Goods,United States,Corporate Responsibility Reports,2020,http://s23.q4cdn.com/775204224/files/doc_downloads/2018-Annual-Report-(1).pdf
Eugene Water & Electric Board,Electric Utilities & Power Generators,Infrastructure,United States,Annual Reports,2020,http://www.eweb.org/Documents/documents-publications-policies/2019-financial-annual-report.pdf
Eversource Energy,Electric Utilities & Power Generators,Infrastructure,United States,Corporate Responsibility Reports,2020,https://www.eversource.com/content/docs/default-source/community/sustainability-report-full-2019.pdf#page=133
Fidelity National Information Services Inc,Software & IT Services,Technology & Communications,United States,Corporate Responsibility Reports,2020,https://www.fisglobal.com/-/media/fisglobal/files/pdf/report/2019_fis_global_sustainability_report.pdf?la=en
Fifth Third Bancorp,Commercial Banks,Financials,United States,Corporate Responsibility Reports,2020,https://s23.q4cdn.com/252949160/files/doc_downloads/09/2019-ESG-Report.pdf
First Solar Inc,Solar Technology & Project Developers,Renewable Resources & Alternative Energy,United States,Corporate Responsibility Reports,2020,http://www.firstsolar.com/-/media/First-Solar/Sustainability-Documents/FirstSolar_Sustainability-Report_2020.ashx?dl=1
Frontline Ltd/Bermuda,Marine Transportation,Transportation,Norway,Corporate Responsibility Reports,2020,https://www.frontline.bm/wp-content/uploads/2019/12/Frontline-Ltd-ESG-Report-2018.pdf
Gartner Inc,Professional & Commercial Services,Services,United States,Corporate Responsibility Reports,2020,https://emtemp.gcom.cloud/ngw/globalassets/en/about/documents/gartner-csr-report-2019.pdf
GasLog Ltd,Marine Transportation,Transportation,Monaco,Corporate Responsibility Reports,2020,https://www.gaslogltd.com/content/uploads/2019-GasLog-Ltd-ESG-Report.pdf
Genuine Parts Co,Multiline and Specialty Retailers & Distributors,Consumer Goods,United States,Corporate Responsibility Reports,2020,http://genuineparts.investorroom.com/download/GPC_2020_CSR_FINAL.pdf
Gilead Sciences Inc,Biotechnology & Pharmaceuticals,Health Care,United States,Corporate Responsibility Reports,2020,https://www.gilead.com/-/media/files/pdfs/yir-2019-pdfs/2019-gilead-yir_desktop.pdf?la=en&hash=E6571C6C78464A40834E85CA069E9F91
GlaxoSmithKline PLC,Biotechnology & Pharmaceuticals,Health Care,Britain,Corporate Responsibility Reports,2020,https://www.gsk.com/media/5886/esg-performance-summary-2019.pdf
Gol Linhas Aereas Inteligentes SA,Airlines,Transportation,Brazil,Corporate Responsibility Reports,2020,https://ri.voegol.com.br/download_arquivos.asp?id_arquivo=4A1E4019-710A-461F-B2EB-81D17DCE9514
Gol Linhas Aereas Inteligentes SA,Airlines,Transportation,Brazil,Other Reporting Vehicles,2020,http://ri.voegol.com.br/download_arquivos.asp?id_arquivo=E65F7F70-84A0-41DC-B222-96F9E195E954
Golden Star Resources Ltd,Metals & Mining,Extractives & Minerals Processing,Canada,Corporate Responsibility Reports,2020,http://s1.q4cdn.com/789791377/files/csr_reports/2020/Golden-Star_2019-Corporate-Responsibility_FINAL.pdf
Goldman Sachs Group Inc/The,Investment Banking & Brokerage,Financials,United States,Corporate Responsibility Reports,2020,https://www.goldmansachs.com/what-we-do/sustainable-finance/documents/reports/2019-sustainability-report.pdf
GS Caltex Corp,Oil & Gas â€“ Refining & Marketing,Extractives & Minerals Processing,South Korea,Corporate Responsibility Reports,2020,https://www.gscaltex.com/download/627
Gulfport Energy Corp,Oil & Gas â€“ Exploration & Production,Extractives & Minerals Processing,United States,Corporate Responsibility Reports,2020,https://s3.amazonaws.com/content.stockpr.com/gulfportenergy/files/pages/sustainability/Corporate-Sustainability-Report-2019.pdf
Halliburton Co,Oil & Gas â€“ Services,Extractives & Minerals Processing,United States,Corporate Responsibility Reports,2020,https://ir.halliburton.com/static-files/672562d9-0e6c-442e-a3b5-69e9418dd7b6
Harsco Corp,Waste Management,Infrastructure,United States,Corporate Responsibility Reports,2020,https://www.harsco.com/sites/default/files/2020-07/HSC-2019-2020%20ESG%20Report.pdf
Hasbro Inc,Toys & Sporting Goods,Consumer Goods,United States,Corporate Responsibility Reports,2020,https://static-asset-delivery.hasbroapps.com/d0050675881be23c4a8b966b079b45629d56fe52/fe77109c2f1eaa3dbd4123923b94aef2.pdf
Healthpeak Properties Inc,Real Estate,Infrastructure,United States,Corporate Responsibility Reports,2020,https://www.healthpeak.com/app/uploads/Sustainability_Reports/2019/2019-ESG-Report.pdf
Hershey Co/The,Processed Foods,Food & Beverage,United States,Corporate Responsibility Reports,2020,https://www.thehersheycompany.com/content/dam/corporate-us/documents/pdf/hershey_SASB_2019.pdf
Hewlett Packard Enterprise Co,Software & IT Services,Technology & Communications,United States,Corporate Responsibility Reports,2020,https://assets.ext.hpe.com/is/content/hpedam/documents/a00097000-7999/a00097537/a00097537enw.pdf
Hoegh LNG Holdings Ltd,Marine Transportation,Transportation,Norway,Annual Reports,2020,https://s22.q4cdn.com/480630535/files/doc_financials/2019/ar/H%C3%B6egh-LNG-Holdings-Ltd.-2019-annual-report.pdf
Host Hotels & Resorts Inc,Real Estate,Infrastructure,United States,Corporate Responsibility Reports,2020,https://www.hosthotels.com/-/media/hosthotels/files/downloadlinksassets/cr-highlights/host_hotels_resorts_inc_corporate_responsibility_report.pdf
Hoteles City Express SAB de CV,Hotels & Lodging,Services,Mexico,Corporate Responsibility Reports,2020,https://www.cityexpress.com/themes/city_express/docs/informes/informe_de_sostenibilidad_2019.pdf
Howmet Aerospace Inc,Aerospace & Defense,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://www.howmet.com/global/en/who-we-are/pdf/sustainability-reports/2019-Environmental-Social-and-Governance-Report.pdf
HP Inc,Hardware,Technology & Communications,United States,Corporate Responsibility Reports,2020,https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c06601778
Hudbay Minerals Inc,Metals & Mining,Extractives & Minerals Processing,Canada,Corporate Responsibility Reports,2020,https://s23.q4cdn.com/405985100/files/doc_financials/annual_reports/2019/Hudbay-2019-Annual-and-Sustainability-Report.pdf
Huntsman Corp,Chemicals,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://d1io3yog0oux5.cloudfront.net/_f260bf7b92b0a66c0ca04fc862a2ab8a/huntsman/db/861/10256/pdf/2019+Sustainability+Report.pdf
Hydro One Ltd,Electric Utilities & Power Generators,Infrastructure,Canada,Corporate Responsibility Reports,2020,https://www.hydroone.com/Sustainability/Documents/CSR_2019/HydroOne_CSR_2019.pdf
Incyte Corp,Biotechnology & Pharmaceuticals,Health Care,United States,Corporate Responsibility Reports,2020,https://www.incyte.com/Portals/0/Assets/Responsibility%20PDFs/2019-sasb-summary.pdf?ver=2020-05-14-225118-383
Ingersoll Rand Inc,Industrial Machinery & Goods,Resource Transformation,United States,Corporate Responsibility Reports,2020,https://www.tranetechnologies.com/content/dam/cs-corporate/pdf/sustainability/annual/2019-ESG-Report.pdf
Intel Corp,Semiconductors,Technology & Communications,United States,Corporate Responsibility Reports,2020,http://csrreportbuilder.intel.com/pdfbuilder/pdfs/CSR-2019-20-Full-Report.pdf
Intesa Sanpaolo Private Banking SPA,Commercial Banks,Financials,Italy,Annual Reports,2020,https://group.intesasanpaolo.com/content/dam/portalgroup/repository-documenti/sostenibilt%C3%A0/dcnf-2019/eng/DCNF%202019_en.pdf
Intuit Inc,Software & IT Services,Technology & Communications,United States,Corporate Responsibility Reports,2020,https://www.intuit.com/content/dam/intuit/intuitcom/documents/company/intuit-cr-report-2019.pdf
